stock_code,stock_market,ipo_date,delisting_date,is_active,created_at,updated_at
33780,KOSPI,,,True,2025-08-08,2025-08-08
58850,KOSPI,,,True,2025-08-08,2025-08-08
58860,KOSPI,,,True,2025-08-08,2025-08-08
93050,KOSPI,,,True,2025-08-08,2025-08-08
3550,KOSPI,,,True,2025-08-08,2025-08-08
34220,KOSPI,,,True,2025-08-08,2025-08-08
51900,KOSPI,,,True,2025-08-08,2025-08-08
51905,KOSPI,,,True,2025-08-08,2025-08-08
64400,KOSPI,,,True,2025-08-08,2025-08-08
373220,KOSDAQ,2022-01-27,,True,2025-08-08,2025-08-08
3555,KOSPI,,,True,2025-08-08,2025-08-08
32640,KOSPI,,,True,2025-08-08,2025-08-08
11070,KOSPI,,,True,2025-08-08,2025-08-08
66570,KOSPI,,,True,2025-08-08,2025-08-08
66575,KOSPI,,,True,2025-08-08,2025-08-08
37560,KOSPI,,,True,2025-08-08,2025-08-08
51910,KOSPI,,,True,2025-08-08,2025-08-08
51915,KOSPI,,,True,2025-08-08,2025-08-08
79550,KOSPI,,,True,2025-08-08,2025-08-08
6260,KOSPI,,,True,2025-08-08,2025-08-08
10120,KOSPI,,,True,2025-08-08,2025-08-08
680,KOSPI,,,True,2025-08-08,2025-08-08
229640,KOSDAQ,2016-09-22,,True,2025-08-08,2025-08-08
108320,KOSDAQ,2013-05-23,,True,2025-08-08,2025-08-08
1120,KOSPI,,,True,2025-08-08,2025-08-08
108670,KOSDAQ,2013-05-23,,True,2025-08-08,2025-08-08
108675,KOSDAQ,2013-05-23,,True,2025-08-08,2025-08-08
383800,KOSDAQ,2021-05-27,,True,2025-08-08,2025-08-08
23150,KOSPI,,,True,2025-08-08,2025-08-08
35420,KOSPI,,,True,2025-08-08,2025-08-08
181710,KOSDAQ,2013-08-29,,True,2025-08-08,2025-08-08
400760,KOSDAQ,2021-11-18,,True,2025-08-08,2025-08-08
5940,KOSPI,,,True,2025-08-08,2025-08-08
5945,KOSPI,,,True,2025-08-08,2025-08-08
338100,KOSDAQ,2019-12-05,,True,2025-08-08,2025-08-08
34310,KOSPI,,,True,2025-08-08,2025-08-08
30190,KOSPI,,,True,2025-08-08,2025-08-08
8260,KOSPI,,,True,2025-08-08,2025-08-08
4250,KOSPI,,,True,2025-08-08,2025-08-08
4255,KOSPI,,,True,2025-08-08,2025-08-08
456040,KOSDAQ,2023-05-30,,True,2025-08-08,2025-08-08
10060,KOSPI,,,True,2025-08-08,2025-08-08
178920,KOSDAQ,2014-12-08,,True,2025-08-08,2025-08-08
1340,KOSPI,,,True,2025-08-08,2025-08-08
5490,KOSPI,,,True,2025-08-08,2025-08-08
10950,KOSPI,,,True,2025-08-08,2025-08-08
10955,KOSPI,,,True,2025-08-08,2025-08-08
34120,KOSPI,,,True,2025-08-08,2025-08-08
3080,KOSPI,,,True,2025-08-08,2025-08-08
5090,KOSPI,,,True,2025-08-08,2025-08-08
1380,KOSPI,,,True,2025-08-08,2025-08-08
4060,KOSPI,,,True,2025-08-08,2025-08-08
1770,KOSPI,,,True,2025-08-08,2025-08-08
2360,KOSPI,,,True,2025-08-08,2025-08-08
9160,KOSPI,,,True,2025-08-08,2025-08-08
33530,KOSPI,,,True,2025-08-08,2025-08-08
123700,KOSDAQ,2013-05-23,,True,2025-08-08,2025-08-08
25530,KOSPI,,,True,2025-08-08,2025-08-08
34730,KOSPI,,,True,2025-08-08,2025-08-08
11790,KOSPI,,,True,2025-08-08,2025-08-08
18670,KOSPI,,,True,2025-08-08,2025-08-08
1740,KOSPI,,,True,2025-08-08,2025-08-08
6120,KOSPI,,,True,2025-08-08,2025-08-08
6125,KOSPI,,,True,2025-08-08,2025-08-08
210980,KOSDAQ,2015-06-23,,True,2025-08-08,2025-08-08
395400,KOSDAQ,2021-09-14,,True,2025-08-08,2025-08-08
302440,KOSDAQ,2021-03-18,,True,2025-08-08,2025-08-08
326030,KOSDAQ,2020-07-02,,True,2025-08-08,2025-08-08
402340,KOSDAQ,2021-11-29,,True,2025-08-08,2025-08-08
361610,KOSDAQ,2021-05-11,,True,2025-08-08,2025-08-08
100090,KOSDAQ,2013-05-23,,True,2025-08-08,2025-08-08
96770,KOSPI,,,True,2025-08-08,2025-08-08
96775,KOSPI,,,True,2025-08-08,2025-08-08
475150,KOSDAQ,2024-03-29,,True,2025-08-08,2025-08-08
1510,KOSPI,,,True,2025-08-08,2025-08-08
1515,KOSPI,,,True,2025-08-08,2025-08-08
285130,KOSDAQ,2018-01-05,,True,2025-08-08,2025-08-08
17670,KOSPI,,,True,2025-08-08,2025-08-08
660,KOSPI,,,True,2025-08-08,2025-08-08
3570,KOSPI,,,True,2025-08-08,2025-08-08
64960,KOSPI,,,True,2025-08-08,2025-08-08
100840,KOSDAQ,2013-05-23,,True,2025-08-08,2025-08-08
36530,KOSPI,,,True,2025-08-08,2025-08-08
5610,KOSPI,,,True,2025-08-08,2025-08-08
11810,KOSPI,,,True,2025-08-08,2025-08-08
465770,KOSDAQ,2023-09-15,,True,2025-08-08,2025-08-08
77970,KOSPI,,,True,2025-08-08,2025-08-08
2820,KOSPI,,,True,2025-08-08,2025-08-08
84870,KOSPI,,,True,2025-08-08,2025-08-08
2710,KOSPI,,,True,2025-08-08,2025-08-08
69260,KOSPI,,,True,2025-08-08,2025-08-08
7980,KOSPI,,,True,2025-08-08,2025-08-08
2900,KOSPI,,,True,2025-08-08,2025-08-08
24070,KOSPI,,,True,2025-08-08,2025-08-08
37270,KOSPI,,,True,2025-08-08,2025-08-08
139130,KOSDAQ,2013-05-23,,True,2025-08-08,2025-08-08
500,KOSPI,,,True,2025-08-08,2025-08-08
860,KOSPI,,,True,2025-08-08,2025-08-08
35250,KOSPI,,,True,2025-08-08,2025-08-08
11420,KOSPI,,,True,2025-08-08,2025-08-08
2100,KOSPI,,,True,2025-08-08,2025-08-08
9450,KOSPI,,,True,2025-08-08,2025-08-08
267290,KOSDAQ,2017-05-12,,True,2025-08-08,2025-08-08
12320,KOSPI,,,True,2025-08-08,2025-08-08
50,KOSPI,,,True,2025-08-08,2025-08-08
214390,KOSDAQ,2015-06-29,,True,2025-08-08,2025-08-08
12610,KOSPI,,,True,2025-08-08,2025-08-08
9140,KOSPI,,,True,2025-08-08,2025-08-08
13580,KOSPI,,,True,2025-08-08,2025-08-08
12200,KOSPI,,,True,2025-08-08,2025-08-08
12205,KOSPI,,,True,2025-08-08,2025-08-08
2140,KOSPI,,,True,2025-08-08,2025-08-08
10130,KOSPI,,,True,2025-08-08,2025-08-08
2240,KOSPI,,,True,2025-08-08,2025-08-08
9290,KOSPI,,,True,2025-08-08,2025-08-08
17040,KOSPI,,,True,2025-08-08,2025-08-08
17900,KOSPI,,,True,2025-08-08,2025-08-08
37710,KOSPI,,,True,2025-08-08,2025-08-08
30610,KOSPI,,,True,2025-08-08,2025-08-08
339770,KOSDAQ,2020-11-12,,True,2025-08-08,2025-08-08
7690,KOSPI,,,True,2025-08-08,2025-08-08
1140,KOSPI,,,True,2025-08-08,2025-08-08
2720,KOSPI,,,True,2025-08-08,2025-08-08
83420,KOSPI,,,True,2025-08-08,2025-08-08
14530,KOSPI,,,True,2025-08-08,2025-08-08
14280,KOSPI,,,True,2025-08-08,2025-08-08
14285,KOSPI,,,True,2025-08-08,2025-08-08
8870,KOSPI,,,True,2025-08-08,2025-08-08
1570,KOSPI,,,True,2025-08-08,2025-08-08
2990,KOSPI,,,True,2025-08-08,2025-08-08
2995,KOSPI,,,True,2025-08-08,2025-08-08
11780,KOSPI,,,True,2025-08-08,2025-08-08
11785,KOSPI,,,True,2025-08-08,2025-08-08
214330,KOSDAQ,2015-11-11,,True,2025-08-08,2025-08-08
1210,KOSPI,,,True,2025-08-08,2025-08-08
73240,KOSPI,,,True,2025-08-08,2025-08-08
92440,KOSPI,,,True,2025-08-08,2025-08-08
270,KOSPI,,,True,2025-08-08,2025-08-08
24110,KOSPI,,,True,2025-08-08,2025-08-08
13700,KOSPI,,,True,2025-08-08,2025-08-08
4540,KOSPI,,,True,2025-08-08,2025-08-08
4545,KOSPI,,,True,2025-08-08,2025-08-08
1260,KOSPI,,,True,2025-08-08,2025-08-08
8350,KOSPI,,,True,2025-08-08,2025-08-08
8355,KOSPI,,,True,2025-08-08,2025-08-08
4270,KOSPI,,,True,2025-08-08,2025-08-08
3920,KOSPI,,,True,2025-08-08,2025-08-08
3925,KOSPI,,,True,2025-08-08,2025-08-08
25860,KOSPI,,,True,2025-08-08,2025-08-08
5720,KOSPI,,,True,2025-08-08,2025-08-08
5725,KOSPI,,,True,2025-08-08,2025-08-08
2350,KOSPI,,,True,2025-08-08,2025-08-08
2355,KOSPI,,,True,2025-08-08,2025-08-08
92790,KOSPI,,,True,2025-08-08,2025-08-08
251270,KOSDAQ,2017-05-12,,True,2025-08-08,2025-08-08
90350,KOSPI,,,True,2025-08-08,2025-08-08
90355,KOSPI,,,True,2025-08-08,2025-08-08
320,KOSPI,,,True,2025-08-08,2025-08-08
325,KOSPI,,,True,2025-08-08,2025-08-08
6280,KOSPI,,,True,2025-08-08,2025-08-08
5250,KOSPI,,,True,2025-08-08,2025-08-08
5257,KOSPI,,,True,2025-08-08,2025-08-08
4370,KOSPI,,,True,2025-08-08,2025-08-08
72710,KOSPI,,,True,2025-08-08,2025-08-08
58730,KOSPI,,,True,2025-08-08,2025-08-08
30210,KOSPI,,,True,2025-08-08,2025-08-08
23590,KOSPI,,,True,2025-08-08,2025-08-08
145210,KOSDAQ,2015-03-19,,True,2025-08-08,2025-08-08
483650,KOSDAQ,2025-05-22,,True,2025-08-08,2025-08-08
19680,KOSPI,,,True,2025-08-08,2025-08-08
19685,KOSPI,,,True,2025-08-08,2025-08-08
6370,KOSPI,,,True,2025-08-08,2025-08-08
8060,KOSPI,,,True,2025-08-08,2025-08-08
353200,KOSDAQ,2020-05-21,,True,2025-08-08,2025-08-08
490,KOSPI,,,True,2025-08-08,2025-08-08
8110,KOSPI,,,True,2025-08-08,2025-08-08
5750,KOSPI,,,True,2025-08-08,2025-08-08
6570,KOSPI,,,True,2025-08-08,2025-08-08
1680,KOSPI,,,True,2025-08-08,2025-08-08
1685,KOSPI,,,True,2025-08-08,2025-08-08
84690,KOSPI,,,True,2025-08-08,2025-08-08
84695,KOSPI,,,True,2025-08-08,2025-08-08
128820,KOSDAQ,2013-05-23,,True,2025-08-08,2025-08-08
117580,KOSDAQ,2013-05-23,,True,2025-08-08,2025-08-08
16710,KOSPI,,,True,2025-08-08,2025-08-08
3540,KOSPI,,,True,2025-08-08,2025-08-08
3547,KOSPI,,,True,2025-08-08,2025-08-08
3545,KOSPI,,,True,2025-08-08,2025-08-08
9190,KOSPI,,,True,2025-08-08,2025-08-08
14160,KOSPI,,,True,2025-08-08,2025-08-08
47040,KOSPI,,,True,2025-08-08,2025-08-08
3090,KOSPI,,,True,2025-08-08,2025-08-08
69620,KOSPI,,,True,2025-08-08,2025-08-08
430,KOSPI,,,True,2025-08-08,2025-08-08
6340,KOSPI,,,True,2025-08-08,2025-08-08
6345,KOSPI,,,True,2025-08-08,2025-08-08
3220,KOSPI,,,True,2025-08-08,2025-08-08
24890,KOSPI,,,True,2025-08-08,2025-08-08
2880,KOSPI,,,True,2025-08-08,2025-08-08
12800,KOSPI,,,True,2025-08-08,2025-08-08
15230,KOSPI,,,True,2025-08-08,2025-08-08
1070,KOSPI,,,True,2025-08-08,2025-08-08
6650,KOSPI,,,True,2025-08-08,2025-08-08
1440,KOSPI,,,True,2025-08-08,2025-08-08
84010,KOSPI,,,True,2025-08-08,2025-08-08
1790,KOSPI,,,True,2025-08-08,2025-08-08
1795,KOSPI,,,True,2025-08-08,2025-08-08
1130,KOSPI,,,True,2025-08-08,2025-08-08
439260,KOSDAQ,2025-08-01,,True,2025-08-08,2025-08-08
3490,KOSPI,,,True,2025-08-08,2025-08-08
3495,KOSPI,,,True,2025-08-08,2025-08-08
5880,KOSPI,,,True,2025-08-08,2025-08-08
3830,KOSPI,,,True,2025-08-08,2025-08-08
16090,KOSPI,,,True,2025-08-08,2025-08-08
69460,KOSPI,,,True,2025-08-08,2025-08-08
475560,KOSDAQ,2024-11-06,,True,2025-08-08,2025-08-08
192080,KOSDAQ,2015-11-04,,True,2025-08-08,2025-08-08
12510,KOSPI,,,True,2025-08-08,2025-08-08
4830,KOSPI,,,True,2025-08-08,2025-08-08
4835,KOSPI,,,True,2025-08-08,2025-08-08
145720,KOSDAQ,2017-03-15,,True,2025-08-08,2025-08-08
2150,KOSPI,,,True,2025-08-08,2025-08-08
460850,KOSDAQ,2023-06-16,,True,2025-08-08,2025-08-08
460860,KOSDAQ,2023-06-16,,True,2025-08-08,2025-08-08
1230,KOSPI,,,True,2025-08-08,2025-08-08
23450,KOSPI,,,True,2025-08-08,2025-08-08
4140,KOSPI,,,True,2025-08-08,2025-08-08
7590,KOSPI,,,True,2025-08-08,2025-08-08
5960,KOSPI,,,True,2025-08-08,2025-08-08
5965,KOSPI,,,True,2025-08-08,2025-08-08
26960,KOSPI,,,True,2025-08-08,2025-08-08
2210,KOSPI,,,True,2025-08-08,2025-08-08
102260,KOSDAQ,2013-05-23,,True,2025-08-08,2025-08-08
640,KOSPI,,,True,2025-08-08,2025-08-08
170900,KOSDAQ,2013-05-23,,True,2025-08-08,2025-08-08
28100,KOSPI,,,True,2025-08-08,2025-08-08
1520,KOSPI,,,True,2025-08-08,2025-08-08
1527,KOSPI,,,True,2025-08-08,2025-08-08
84670,KOSPI,,,True,2025-08-08,2025-08-08
82640,KOSPI,,,True,2025-08-08,2025-08-08
1525,KOSPI,,,True,2025-08-08,2025-08-08
8970,KOSPI,,,True,2025-08-08,2025-08-08
18500,KOSPI,,,True,2025-08-08,2025-08-08
6040,KOSPI,,,True,2025-08-08,2025-08-08
30720,KOSPI,,,True,2025-08-08,2025-08-08
14820,KOSPI,,,True,2025-08-08,2025-08-08
14825,KOSPI,,,True,2025-08-08,2025-08-08
111380,KOSDAQ,2023-11-21,,True,2025-08-08,2025-08-08
